date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:32	436715/436715	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22436715-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/jquery-ui-1.10.4.custom.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/jquery-ui-1.10.4.custom.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:32	299/299	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22299-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/images/3D.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/images/3D.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:33	708/708	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22708-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/boton_edit.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/boton_edit.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:33	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/inegi/www.google-analytics.com/analytics.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:33	790/790	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22790-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/guardar.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/guardar.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:33	843/843	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22843-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/boton_elim.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/boton_elim.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:34	1028/1028	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221028-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/jquery.leanModal.min.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/jquery.leanModal.min.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:35	1502/1502	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%221502-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/layers.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/layers.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.css)
15:39:35	2898/2898	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%222898-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/layers-2x.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/layers-2x.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.css)
15:39:36	1056/1056	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%221056-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/spritesheet.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/spritesheet.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.draw.css)
15:39:36	2078/2078	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%222078-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/spritesheet-2x.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/spritesheet-2x.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.draw.css)
15:39:36	425/425	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22425-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/modal_close.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/modal_close.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/modal.css)
15:39:37	21435/21435	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%2221435-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/poligono_elim.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/poligono_elim.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:37	1484/1484	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%221484-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/hd-bg.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/hd-bg.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/modal.css)
15:39:37	41041/41041	---M--	200	added ('Accept-Encoding')	text/x-component	etag:W/%2241041-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/pie/PIE.htc	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/pie/PIE.htc	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:37	30475/30475	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%2230475-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/poligono_edit.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/poligono_edit.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:39:37	1738/1738	---M--	200	added ('Accept-Encoding')	image/gif	etag:W/%221738-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/animated-overlay.gif	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/animated-overlay.gif	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css)
15:39:37	332/332	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22332-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css)
15:39:37	206/206	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22206-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_flat_15_cd0a0a_40x100.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_flat_15_cd0a0a_40x100.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css)
15:39:38	6299/6299	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%226299-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-icons_ffffff_256x240.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-icons_ffffff_256x240.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css)
15:39:38	312/312	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22312-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_diagonals-thick_90_eeeeee_40x40.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_diagonals-thick_90_eeeeee_40x40.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css)
15:39:38	249/249	---M--	200	added ('Accept-Encoding')	image/png	etag:W/%22249-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_highlight-hard_70_000000_1x100.png	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/ui-bg_highlight-hard_70_000000_1x100.png	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery-ui-1.10.3.custom.css)
15:39:38	64/64	---M--	200	added ('Accept-Encoding')	image/gif	etag:W/%2264-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/jquery.selectBox-arrow.gif	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/jquery.selectBox-arrow.gif	(from http://mapserver.inegi.org.mx/CEM3_mapa/css/jquery.selectBox.css)
